Date,Time,ID,Home,HSets,HPoints,Away,ASets,APoints,Division,Category,Venue,R1,R2,
2025-04-05,14:30,M1 109,Newcastle Staffs,0,- - - - -,London Aces,0,- - - - -,Division 1 Men,men,Sir Stanley Matthews Sports Centre,,
2025-02-23,11:30,W1 7,London Giants,0,- - - - -,Stockport,0,- - - - -,Division 1 Women,men,Clapham Leisure Centre,Giordano Marchi,Gabriel Dan
2025-02-23,12:00,W1 73,Southampton,0,- - - - -,Leicester Athena Phoenix,0,- - - - -,Division 1 Women,men,Woodlands Community School,Alexandru Calin,Sam Yip
2025-02-23,14:00,W1 72,Coventry & Warwick Riga,0,- - - - -,Everton Belugas,0,- - - - -,Division 1 Women,men,Alan Higgs Centre,Bryan Machin,Pete Whyard
2025-02-26,20:30,W1 5,London Giants,0,- - - - -,Richmond,0,- - - - -,Division 1 Women,men,Caius House Youth Centre,Fiona Cotterill,Martin Shakespeare
2025-03-01,11:45,W1 1,Stockport,0,- - - - -,Essex Trinity,0,- - - - -,Division 1 Women,men,Life Leisure Brinnington Park,Bryan Youlden,Lenny Barry
2025-03-02,11:00,W1 50,Coventry & Warwick Riga,0,- - - - -,Leicester Athena Phoenix,0,- - - - -,Division 1 Women,men,Centre AT7,Elia Gironacci,Sebastian Struski
2025-03-02,14:00,W1 77,Everton Belugas,0,- - - - -,London Inter Crocs,0,- - - - -,Division 1 Women,men,Litherland High School,Bryan Youlden,Zining Tan
2025-03-02,15:30,W1 80,Richmond,0,- - - - -,Southampton,0,- - - - -,Division 1 Women,men,Kingston College Arena,Dr Zuzana Resetarova,Giorgio Scatigna-Gianfagna
2025-03-08,13:00,W1 65,Leicester Athena Phoenix,0,- - - - -,Newcastle Knights,0,- - - - -,Division 1 Women,men,New College Leicester,Pete Whyard,
2025-03-08,14:30,W1 49,Essex Trinity,0,- - - - -,Stockport,0,- - - - -,Division 1 Women,men,St John Payne School,Herman Prada,Sebastian Widlarz
2025-03-09,11:00,W1 78,London Giants,0,- - - - -,Newcastle Knights,0,- - - - -,Division 1 Women,men,Clapham Leisure Centre,Ryszard Dabrowski,Giordano Marchi
2025-03-09,14:00,W1 75,Coventry & Warwick Riga,0,- - - - -,Essex Trinity,0,- - - - -,Division 1 Women,men,Alan Higgs Centre,Joseph Gore,Bryan Machin
