Date,Time,ID,Home,HSets,HPoints,Away,ASets,APoints,Division,Category,Venue,R1,R2,
2024-10-27,00:00,,London Giants,3,27 25 25 - -,IBB Polonia London,0,25 19 11 - -,Super League Men,men,Clapham Leisure Centre,Patrick Koroma,Ryszard Dabrowski
2024-10-26,00:00,,University of Nottingham,2,25 17 19 25 13,Durham Palatinates,3,14 25 25 16 15,Super League Men,men,David Ross Sports Village,William Perugini,Stephen Smith
2024-10-26,00:00,,Stockport,0,12 25 21 - -,London Giants,3,25 27 25 - -,Super League Men,men,Life Leisure Brinnington Park,Lenny Barry,Sarah Hanrahan
2024-10-26,00:00,,Essex Rebels,3,25 25 25 - -,Richmond Docklands,0,19 19 21 - -,Super League Men,men,University of Essex Sports Centre,Herman Prada,Klaudia French
2024-10-20,00:00,,Essex Blaze,1,27 25 23 21 -,Richmond Docklands,3,29 17 25 25 -,Super League Men,men,St John Payne School,Glynn Archibald,Herman Prada
2024-10-19,00:00,,Malory Eagles UEL,3,25 22 25 25 -,Durham Palatinates,1,19 25 14 21 -,Super League Men,men,Ernest Bevin College,Giorgio Scatigna-Gianfagna,Glynn Archibald
2024-10-12,00:00,,Malory Eagles UEL,2,22 23 27 25 12,Newcastle Knights,3,25 25 25 21 15,Super League Men,men,National Volleyball Centre,Dominik Biegajlo,Katarina Cepinova
2024-10-12,00:00,,London Giants,1,25 20 21 17 -,Durham Palatinates,3,17 25 25 25 -,Super League Men,men,National Volleyball Centre,Richard Burbedge,Domenico De Mattia
2024-10-12,00:00,,Richmond Docklands,3,25 25 27 25 -,Stockport,1,19 18 29 21 -,Super League Men,men,National Volleyball Centre,Katarina Cepinova,Klaudia French
2024-10-12,00:00,,Essex Rebels,3,25 25 25 - -,IBB Polonia London,0,14 18 17 - -,Super League Men,men,National Volleyball Centre,Herman Prada,Anna Justkowska
2024-10-12,00:00,,University of Nottingham,3,25 25 22 25 -,Essex Blaze,1,19 18 25 18 -,Super League Men,men,National Volleyball Centre,William Perugini,Martin Shakespeare
2025-02-02,00:00,,Black Country,3,25 25 26 25 -,Tamworth Spartans,1,20 13 28 17 -,Division 1 Men,men,Cleobury Mortimer Sports Centre,Rita Grimes,Marcus Au Yeung
2025-02-01,00:00,,London Baks,0,21 19 17 - -,Newcastle Staffs,3,25 25 25 - -,Division 1 Men,men,Castle Green Sport Centre,Ryszard Dabrowski,Huaxi Liu
2025-02-01,00:00,,Leeds Gorse,3,32 25 12 23 15,Bristol,2,30 21 25 25 9,Division 1 Men,men,The Ruth Gorse Academy,Michal Garncarz,Simon Cowie
2025-02-01,00:00,,Cambridge ARU,3,25 21 21 25 15,Hull Thunder,2,16 25 25 12 11,Division 1 Men,men,North Cambridge Academy,Mark Marritt,Natalie O'hare
2025-02-01,00:00,,London Aces,1,25 28 23 23 -,Exeter Storm,3,27 26 25 25 -,Division 1 Men,men,Lambeth Academy,Anna Justkowska,Ruben Duarte
2025-01-26,00:00,,Tamworth Spartans,1,25 13 12 20 -,Leeds Gorse,3,20 25 25 25 -,Division 1 Men,men,Rawlett Community Sports College,Rita Grimes,Bryan Machin
