Date,Time,ID,Home,Away,Category,Division,Venue,Ref1, Ref2
2024-10-26,15:30,M1 15,Cambridge ARU,London Baks,Division 1 Men,North Cambridge Academy,Ryszard Dabrowski,Ian Cheesbrough
2024-11-02,13:30,M1 4,London Aces,Black Country,Division 1 Men,Lambeth Academy,Ian Cheesbrough,Huaxi Liu
2024-11-02,14:30,M1 78,London Baks,Cambridge ARU,Division 1 Men,Castle Green Sport Centre,Giordano Marchi,Patrick Koroma
2024-11-09,12:30,M1 22,Exeter Storm,Black Country,Division 1 Men,Riverside Leisure Centre,,
2024-11-09,13:30,M1 20,London Aces,Tamworth Spartans,Division 1 Men,Lambeth Academy,,
2024-11-09,14:00,M1 95,Newcastle Staffs,Cambridge ARU,Division 1 Men,Sir Stanley Matthews Sports Centre,,
2024-11-09,15:00,M1 21,Hull Thunder,Lincoln Cannons,Division 1 Men,Steve Prescott Sports Centre,,
2024-11-10,12:30,M1 23,Bristol,Black Country,Division 1 Men,Avanti Gardens School,,
2024-11-16,13:15,M1 25,Black Country,Hull Thunder,Division 1 Men,Redhill School Sports Hall,,
2024-11-16,13:30,M1 26,London Aces,Cambridge ARU,Division 1 Men,Lambeth Academy,,
2024-11-16,14:30,M1 28,Exeter Storm,Leeds Gorse,Division 1 Men,Riverside Leisure Centre,,
2024-11-16,14:30,M1 27,Lincoln Cannons,London Baks,Division 1 Men,Riseholme College (Showground Campus),,
2024-11-17,14:00,M1 29,Bristol,Leeds Gorse,Division 1 Men,Avanti Gardens School,,
2024-11-17,15:30,M1 30,Tamworth Spartans,Hull Thunder,Division 1 Men,Wilnecote Leisure Centre,,
2024-11-23,12:00,M1 32,Leeds Gorse,Lincoln Cannons,Division 1 Men,The Ruth Gorse Academy,,
2024-11-23,14:00,M1 33,Newcastle Staffs,Exeter Storm,Division 1 Men,Sir Stanley Matthews Sports Centre,,
2024-11-23,14:30,M1 34,London Baks,Hull Thunder,Division 1 Men,Castle Green Sport Centre,,
2024-11-23,15:30,M1 31,Cambridge ARU,Tamworth Spartans,Division 1 Men,Stephen Perse Foundation,,
2024-11-24,12:00,M1 35,Leeds Gorse,Newcastle Staffs,Division 1 Men,The Ruth Gorse Academy,,
2024-11-30,14:00,M1 36,Bristol,Newcastle Staffs,Division 1 Men,Avanti Gardens School,,
2024-11-30,14:30,M1 39,Lincoln Cannons,London Aces,Division 1 Men,Riseholme College (Showground Campus),,
2024-11-30,14:30,M1 40,London Baks,Black Country,Division 1 Men,Castle Green Sport Centre,,
2024-11-30,15:00,M1 37,Hull Thunder,Leeds Gorse,Division 1 Men,Steve Prescott Sport Centre,,
2024-11-30,15:30,M1 38,Exeter Storm,Cambridge ARU,Division 1 Men,Riverside Leisure Centre,,
2024-12-01,13:00,M1 42,Bristol,Cambridge ARU,Division 1 Men,Avanti Gardens School,,
2024-12-01,15:00,M1 43,Lincoln Cannons,Tamworth Spartans,Division 1 Men,Riseholme College (Showground Campus),,
2024-12-07,13:30,M1 41,London Aces,Newcastle Staffs,Division 1 Men,Lambeth Academy,,
2024-12-07,14:00,M1 19,Tamworth Spartans,Exeter Storm,Division 1 Men,Wilnecote Leisure Centre,,
2024-12-07,14:30,M1 45,Leeds Gorse,London Baks,Division 1 Men,The Ruth Gorse Academy,,
2024-12-08,15:30,M1 48,Cambridge ARU,Black Country,Division 1 Men,North Cambridge Academy,,
2024-12-14,12:30,M1 51,Exeter Storm,Lincoln Cannons,Division 1 Men,Riverside Leisure Centre,,
2024-12-14,14:00,M1 49,London Baks,London Aces,Division 1 Men,Castle Green Sport Centre,,
2024-12-14,15:00,M1 53,Exeter Storm,Bristol,Division 1 Men,Riverside Leisure Centre,,
2024-12-14,15:00,M1 50,Hull Thunder,Tamworth Spartans,Division 1 Men,Steve Prescott Sports Centre,,
2024-12-15,13:30,M1 46,Bristol,Lincoln Cannons,Division 1 Men,Avanti Gardens School,,
2024-12-15,15:30,M1 52,Cambridge ARU,Newcastle Staffs,Division 1 Men,North Cambridge Academy,,
2025-01-04,12:30,M1 56,Exeter Storm,Hull Thunder,Division 1 Men,Riverside Leisure Centre,,
2025-01-05,13:00,M1 59,Tamworth Spartans,Newcastle Staffs,Division 1 Men,Wilnecote Leisure Centre,,
